name,言語コード,意味,綴り,count
フラワー,en,花,flower,80
ブランズ,,,,114
ブリシア,,,,24
プリムローズ,fr,桜,primerose,19
ブリリア,,,,172
ブリリアンス,en,輝かしい,briliance,23
プリンス,en,王子,prince,28
プレ,en,,pre,1174
プレイス,en,場所,place,167
プレール,,,,312
プレールドゥーク,,,,227
プレジール,,,,18
プレシス,en,貴重,precious,119
プレジャー,en,喜び,pleasure,19
プレシャス,,,,27
プレステージ,en,名誉,prestige,36
プレミアムキューブ,,,,56
プレミスト,,,,61
プロスペアー,en,繁栄,prosperity,16
プロムナード,fr,散歩,promenade,15
フロント,en,前,front,159
ペア,en,組,pair,63
ペガサス,,,,27
ベリスタ,,,,48
ベル,fr,美,belle,824
ベルグレード,fr,美女,bellgrade,24
ベルコリーヌ,fr,美しい丘,bellecolline,47
ベルジュール,fr,美しい日,bel jour,62
ベルテ,,,,33
ポート,en,港,port,36
ホーム,en,住居,home,1223
ホームズ,en,住居,home,965
ボヌール,fr,幸運,bonheur,14
マークス,en,目立つ,marks,67
マートル,,,,54
マイ,en,私,my,326
マキシヴ,,,,42
マック,,,,33
マリオン,en,窓枠,marion,21
ミオカステーロ,,,,87
ミリオン,en,無数,million,85
ミルーナ,sp,私の月,mi luna,16
メイクスデザイン,,,,65
メイゾン,fr,家,maison,35
メイツ,,,,71
メイン,,,,285
メゾネット,,,,16
メゾン,fr,家,maison,867
メゾンド,fr,店,maison,99
メゾンドール,fr,金の家,maison d'or,22
メルシー,fr,ありがとう,merci,24
モア,en,もっと,more,94
モナーク,,,,90
モリス,en,人名,morris,29
ヤモンド,,,,128
ユースフル,en,便利,useful,19
ユニアス,el,人名,Junias,17
ユニーブル,,,,69
ライオン,en,ライオン,lion,1894
ライジングプレイス,,,,42
ライト,en,光,light,105
ライネス,en,人名,lainez,14
ライフ,en,生活,life,186
ライブ,en,生活,live,36
ヴィエ,fr,生活,vie,27
ドール,fr,黄金,dor,155
ラグジュアリー,en,豪華,luxury,30
ラス,,,,1007
ラフィスタ,fr,洗練,raffistar,38
ラフィネ,fr,洗練,raffine,15
ラポール,fr,信頼,rapport,19
ラミアール,?,,,19
ランド,en,土地,land,580
リーベスト,en,最高な暮らし,libest,20
リヴ,,,,119
リシェ,fr,富,riche,17
リスト,en,表,list,21
リッツ,en,豪華,ritz,24
リバー,en,川,river,214
リビオ,en,オアシス,living oasis,126
リブレ,sp,自由,libre,14
リム,en,ふち,rim,94
リュクス,en,贅沢,luxe,43
リライアンス,en,信頼,reliance,20
リリーゼ,,,reliese,15
リリーベル,en,スズラン,lily bell,21
リリエン,fr,百合,lilien,21
リレント,en,又貸し,re-rent,13
シャトレ,fr,城,châtelet,96
ルーブル,ru,通貨,rubl,325
ルジェンテ,it,人々,l'gente,35
ルッソ,it,贅沢,lusso,13
ルネサンス,fr,再生,renaissance,36
ルピナス,en,花,lupin,55
ルフォン,fr,本質,le fond,58
ルミエール,fr,光,lumiere,39
ルミネ,en,照らす,lumine,36
ルリオン,fr,ライオン,le lion,61
レアライズ,en,現実,realize,37
レイク,en,池,lake,19
レーベン,de,命,leben,164
スガルテン,?,,,19
リヴァーレ,ru,好敵手,rivale,27
レガリス,la,王者,regalis,23
レクシオ,?,,,22
レグゼ,de,躍動感,regza,18
レクセル,en,先駆者,lexel,188
レジェイド,en,翡翠,jade,23
レジェンド,en,伝説,legend,44
レジダンス,fr,住居,residence,23
レジデンス,en,住居,residence,993
レヂオンス,?,,,31
レックス,la,王,rex,84
レフィール,es,語る,referir,15
ロアール,fr,地名,loire,57
ロイアル,en,王,royal,14
ロイヤル,en,王室の,layal,313
ローズ,en,薔薇,rose,121
ローヤル,en,王,royal,170
ローレル,en,月桂,laurel,54
ロワール,fr,ロワール川,Loire,26
ロワイヤル,fr,王宮,royal,55
ワールド,en,世界,world,52
ワコー,ja,地名,wako,138
