名前,言語コード,意味,綴り,分類
エクセル,en,優れた,excel,8
エクセルシオール,la,優れた,excelsior,8
エクセレンス,en,優秀,excellence,8
エクセレント,en,優秀,excellent,8
エクレール,fr,稲妻,Éclair,4
エコ,en,環境,eco,4
エスカイア,en,殿,esquire,1
エステート,en,住居,estate,9
エステム,?,,,
エスポワール,fr,希望,espoir,8
エミネンス,en,高貴,eminence,1
エルフラット,fr,平ら,el flat,4
エレガンス,en,豪華,ellegance,1
エンゼル,en,天使,angel,3
オープン,en,開幕,open,6
オーベル,ge,上位,ober,6
オリエンタル,en,東洋的,oriental,11
オリエント,en,東洋,orient,11
オリンピック,en,オリンピック,Olympics,6
オリンポス,el,山,olympos,4
カーサ,it,家,casa,9
ガーデニア,en,くちなし,gardenia,5
ガーデン,en,庭,garden,10
ガーラ,es,祭り,gala,13
カインド,en,親切,kind,8
カテリーナ,it,聖女,caterina,3
ガラ,el,牛乳,γάλα,5
ガリシア,en,スペイン,galicia,11
カルム,fr,穏やか,calme,8
キャステール,fr,城,castle,1
キャッスル,en,城,castle,1
キャニオン,en,谷,canyon,4
キャピタル,en,首都,capital,11
クィーン,en,女王,queen,1
クオス,en,混沌,chaos,6
クオリア,en,感覚,qualia,6
グラーサ,fr,お陰,grâce à,6
クラッシィ,en,高級,classy,1
クラディア,en,クラディア,claudia,2
グラン,es,壮大,grand,8
グランセ,?,,,
グランツ,ge,輝き,glanz,8
グランデ,es,偉大,grande,8
グランディ,ru,人名,Grandi,2
グランディオ,fr,大二重奏曲,grand duo,8
テージ,en,舞台,stage,9
グランド,,,,
グランフォート,,,,
グリーン,en,緑,green,10
クリオ,en,神,clio,3
クレア,,,,
クレアシオン,fr,創造,création,3
クレアトール,,,,
クレイシア,pt,子供,crianca,7
グレイス,en,女神,Grace,3
クレイドル,en,ゆりかご,cradle,9
クレヴィア,en,豊か,crevia,8
クレヴィスタ,?,,,
グレース,en,美,grace,8
クレール,fr,明るい,clair,8
クレスト,en,紋章,crest,1
クレスパリオ,?,,,
クレッセント,en,三日月,crescent,4
グロー,en,輝き,glow,8
グローリア,es,栄光,gloria,8
グローリオ,es,栄光,glorio,8
コアロード,en,貴族,core load,1
コーヅ,en,,chord,
コート,en,宮殿,court,1
コープ,en,協力,coop,6
コーポ,en,住宅,coopo,9
コスモ,it,宇宙,cosmo,4
コニファー,en,針葉樹,conifer,5
コンシェリア,?,,,
コンシェルジュ,fr,案内人,concierge,7
コンド,en,分譲アパート,condo,9
コンドミニアム,en,分譲マンション,condominium,9
コンファーレ,?,,confalle,
コンフォート,en,安心,comfort,6
サーパス,en,上回る,surpass,8
サーラ,ru,豚肉,сало,5
サイド,en,側面,side,6
サウス,en,南,south,4
サニー,en,太陽,sunny,10
サマリヤ,en,善人,samaria,7
サン,en,太陽,sun,10
サンクタス,la,聖なる,sanctus,3
サンライズ,en,日の出,sunrise,10
シー,en,海,sea,4
シーアイ,?,,,
シーズ,en,種,seeds,5
ジーベック,en,船,xebec,4
シーン,en,場面,scene,6
ジェイ,en,カケス,jay,5
ジェノヴィア,?,,,
ジェンド,en,性別,gender,7
シティ,en,市,city,11
シティオ,es,場所,sitio,11
シャトー,fr,城,chateau,1
シャトレ,fr,城,châtelet,1
シャリエ,fr,熱意,chaleur,6
シャルマン,fr,魅力的,charmant,8
シャルム,fr,魅力,charme,8
シャンブル,fr,部屋,chambre,9
シャンボール,fr,地名,Chambord,2
ジュエル,en,宝石,jewel,1
ジュネス,fr,青年,jeunesse,7
シュロス,de,城,sheloss,1
ジョイフル,en,楽しい,joyful,8
シンシア,en,誠実,cynthia,8
スイート,en,甘い,sweet,8
ズーム,en,拡大,zoom,6
スカーラ,it,幸せ,skāra,8
スカイ,en,空,sky,4
スクエア,en,四角,square,6
スタイル,en,様式,style,6
スタジオデン,?,,,
ステイツ,en,国家,state,11
ステージ,en,段階,stage,6
ステーション,en,駅,station,13
ストーク,en,コウノトリ,stork,5
スパシエ,?,,,
セイガ,?,,,
セーナ,es,食べ物,cena,13
ゼームス,en,人名,James,2
セザール,fr,男,César,7
セジョリ,fr,素敵,C'est joli,8
ゼファー,en,神,zephyr,1
セブンスター,en,七つ星,sevenstar,4
セボン,fr,美味しい,c'est bon,8
セレナ,es,穏やか,serena,8
センター,en,中心,center,6
センチュリー,en,世紀,century,6
セント,en,匂い,scent,8
セントラル,en,中心,central,6
ソフィア,la,家,sophia,9
ソフト,en,柔らかい,soft,6
ソル,la,太陽,sol,10
ソレイユ,fr,太陽,soliel,10
ゾンネン,ge,太陽,sonnenstern,10
ダイア,en,ダイア,diamond,1
ダイカン,?,,,
ダイナ,?,,,
ダイホー,?,,,
ダイヤモンド,en,ダイヤモンド,diamond,1
タワー,en,塔,tower,10
チュリス,?,,,
ツイン,en,双子,twin,7
ディアージュ,造語,対話する場所,diage,10
ディアスタ,el,星,aster,4
ディアナ,en,人名,diana,2
ディアレイシャス,,,,
ディップス,en,くぼみ,dips,10
ディナ,en,正義,dina,6
サンテミリオン,fr,地名,saint-Emilion,2
デュープレックス,en,二重の,duplex,6
デュオ,el,2,duo,6
パレ,fr,宮殿,palace,1
ステュディオ,fr,マンション,studio,9
テラス,en,テラス,terrace,9
ドゥエ,ru,2,two,6
トゥルース,en,真実,truth,6
ドエル,en,住む,dwell,9
アルス,en,,ARS,
トーア,de,ゴール,tor,6
トーカン,en,トークン,token,1
トーシン,?,,,
フェニックス,en,永遠,phoenix,6
トップ,en,頂上,top,4
ドミール,fr,住居,domicile,9
ドムス,la,家,domus,9
ドメイン,en,領地,domain,10
ドラゴン,en,ドラゴン,dragon,5
ドリーム,en,夢,dream,6
ドルチェ,ru,甘い,dolce,8
ドルフ,de,田舎,dolf,11
ドルミ,ru,眠り,dormi,6
ドレッセ,fr,美しい,dresser,8
ナード,en,オタク,nerd,7
ナイス,en,良い,nice,8
ナショナル,en,国の,national,11
ナビウス,?,,,
ニック,en,切り込み,nick,6
ニュー,en,新しい,new,8
ネオ,el,新しい,neo,8
マイム,en,役者,mime,7
ネク,?,,,ネクステージとかに含まれているやつだから、消してもいいかも
ノヴァ,la,新しい,nova,8
ノース,en,北,north,6
ノーブル,en,威厳,noble,6
パーク,en,公園,park,10
パート,en,部分,part,6
バーム,de,木,baum,10
パームス,,,,
ハーモニー,,,,
パール,en,真珠,pearl,1
ハイズ,,,,
ハイセレサ,,,,
ハイツ,en,高台,heights,4
ハイデンス,,,,
ハイネス,,,,
ハイマート,de,家,heimat,9
ハイム,ge,家,heim,9
ハイラーク,,,,
ハイライズ,,,,
ハイライン,,,,
ハウス,en,家,house,9
パシフィック,en,太平洋,pacific,4
パティーナ,en,古つや,patina,8
パティオ,es,庭,patio,10
パテラ,,,,
パラシオン,es,宮殿,palacio,1
パラスト,,,,
パリオ,la,創造,pallium,6
パルテール,fr,庭,parterre,10
パルナス,,,,
パレ,fr,宮殿,palais,1
パレス,en,宮殿,palace,1
パレドール,,,,
パロス,en,島,Πάρος,4
ピア,fr,貴族,peer,1
ビアネーズ,,,,
ビッグ,en,大きい,big,6
ビバリー,,,,
ヒミコ,,,,
ビュー,en,眺め,view,4
ビューネ,de,舞台,buhne,8
ヒル,en,丘,hill,4
ヒルズ,en,丘,hills,4
ファースト,en,最初,first,6
ファイン,en,繊細,fine,6
ファミール,fr,家族的な,famille,12
ファミリア,fr,親しみ,familiar,12
ファミリー,en,家族,family,12
フィエスタ,es,祝祭,feast,13
フェアロージュ,,,,
フェニックス,,,,
フェルクルールプレスト,,,,
フォース,,,,
フォルム,fr,形,forme,6
フォレスト,en,森,forest,10
フュージョナル,,,,
ブライズ,,,,
プライム,en,重要,prime,14
プラウド,,,,
プラザ,,,,
フラッツ,,,,
フラット,,,,
フラワー,en,花,flower,5
ブランズ,,,,
ブリシア,,,,
プリムローズ,fr,桜,primerose,5
ブリリア,,,,
ブリリアンス,en,輝かしい,briliance,1
プリンス,en,王子,prince,1
プレ,,,pre,
プレイス,en,場所,place,11
プレール,,,,
プレールドゥーク,,,,
プレジール,,,,
プレシス,en,貴重,precious,1
プレジャー,en,喜び,pleasure,8
プレシャス,,,,
プレステージ,en,名誉,prestige,14
プレミアムキューブ,,,,
プレミスト,,,,
プロスペアー,en,繁栄,prosperity,14
プロムナード,fr,散歩,promenade,13
フロント,en,前,front,6
ペア,en,組,pair,6
ペガサス,,,,
ベリスタ,,,,
ベル,fr,美,belle,8
ベルグレード,fr,美女,bellgrade,8
ベルコリーヌ,fr,美しい丘,bellecolline,4
ベルジュール,fr,美しい日,bel jour,8
ベルテ,,,,
ポート,en,港,port,4
ホーム,en,住居,home,9
ホームズ,en,住居,homes,9
ボヌール,fr,幸運,bonheur,8
マークス,en,目立つ,marks,8
マートル,,,,
マイ,en,私,my,7
マキシヴ,,,,
マック,,,,
マリオン,en,窓枠,marion,9
ミオカステーロ,,,,
ミリオン,en,無数,million,6
ミルーナ,sp,私の月,mi luna,4
メイクスデザイン,,,,
メイゾン,fr,家,maison,9
メイツ,,,,
メイン,en,主な,main,14
メゾネット,,,,
メゾン,fr,家,maison,9
メゾンド,fr,店,maison de,9
メゾンドール,fr,金の家,maison d'or,1
メルシー,fr,ありがとう,merci,13
モア,en,もっと,more,6
モナーク,,,,
モリス,en,人名,morris,7
ヤモンド,,,,
ユースフル,en,便利,useful,1
ユニアス,el,人名,Junias,7
ユニーブル,,,,
ライオン,en,ライオン,lion,5
ライジングプレイス,,,,
ライト,en,光,light,10
ライネス,en,人名,lainez,7
ライフ,en,生活,life,13
ライブ,en,生活,live,13
ヴィエ,fr,生活,vie,13
ドール,fr,黄金,dor,1
ラグジュアリー,en,豪華,luxury,1
ラス,,,,
ラフィスタ,fr,洗練,raffistar,8
ラフィネ,fr,洗練,raffine,8
ラポール,fr,信頼,rapport,12
ラミアール,?,,,
ランド,en,土地,land,11
リーベスト,en,最高な暮らし,libest,13
リヴ,,,,
リシェ,fr,富,riche,1
リスト,en,表,list,6
リッツ,en,豪華,ritz,1
リバー,en,川,river,4
リビオ,en,オアシス,living oasis,8
リブレ,sp,自由,libre,6
リム,en,ふち,rim,6
リュクス,en,贅沢,luxe,1
リライアンス,en,信頼,reliance,12
リリーゼ,,,reliese,
リリーベル,en,スズラン,lily bell,5
リリエン,fr,百合,lilien,5
リレント,en,又貸し,re-rent,6
シャトレ,fr,城,châtelet,1
ルーブル,ru,通貨,rubl,1
ルジェンテ,it,人々,l'gente,7
ルッソ,it,贅沢,lusso,1
ルネサンス,fr,再生,renaissance,7
ルピナス,en,花,lupin,5
ルフォン,fr,本質,le fond,6
ルミエール,fr,光,lumiere,10
ルミネ,en,照らす,lumine,10
ルリオン,fr,ライオン,le lion,5
レアライズ,en,現実,realize,6
レイク,en,池,lake,4
レーベン,de,命,leben,13
スガルテン,?,,,
リヴァーレ,ru,好敵手,rivale,12
レガリス,la,王者,regalis,8
レクシオ,?,,,会社名で由来不明
レグゼ,de,躍動感,regza,6
レクセル,en,先駆者,lexel,7
レジェイド,en,翡翠,jade,1
レジェンド,en,伝説,legend,8
レジダンス,fr,住居,residence(fr),9
レジデンス,en,住居,residence,9
レヂオンス,?,,,
レックス,la,王,rex,1
レフィール,es,語る,referir,6
ロアール,fr,地名,loire,11
ロイアル,en,王,royal(ロイアル),1
ロイヤル,en,王室の,layal,1
ローズ,en,薔薇,rose,5
ローヤル,en,王,royal(ローヤル),1
ローレル,en,月桂,laurel,5
ロワール,fr,ロワール川,Loire,4
ロワイヤル,fr,王宮,royal(fr),1
ワールド,en,世界,world,6
ワコー,ja,地名,wako,11
